Aire,Base,Hauteur,Abscisse de la hauteur,Abscisse du point de premier découpage,Ordonnée du point de premier découpage,Abscisse du point de deuxième découpage,Ordonnée du point de deuxième découpage,Abscisse du point de troisième découpage,Ordonnée du point de troisième découpage
12,=12,=2,=2,=1/2,=1/2,=26/3,=2/3,=13/3,=1/3
12,=12,=2,=2,=2/3,=2/3,=19/2,=1/2,=19/3,=1/3
12,=12,=2,=2,=2/3,=2/3,=7,=1,=7/2,=1/2
12,=12,=2,=2,=3/4,=3/4,=9/2,=3/2,=2,=2/3
12,=12,=2,=2,=5/6,=5/6,=23/4,=5/4,=46/15,=2/3
12,=12,=2,=2,=1,=1,=26/3,=2/3,=13/2,=1/2
12,=12,=2,=2,=1,=1,=7,=1,=14/3,=2/3
12,=12,=2,=2,=5/4,=5/4,=47/6,=5/6,=94/15,=2/3
12,=12,=2,=2,=4/3,=4/3,=16/3,=4/3,=4,=1
12,=12,=2,=2,=3/2,=3/2,=33/4,=3/4,=22/3,=2/3
12,=12,=2,=5/2,=5/8,=1/2,=53/6,=2/3,=53/12,=1/3
12,=12,=2,=5/2,=5/6,=2/3,=77/8,=1/2,=77/12,=1/3
12,=12,=2,=5/2,=5/6,=2/3,=29/4,=1,=29/8,=1/2
12,=12,=2,=5/2,=15/16,=3/4,=39/8,=3/2,=13/6,=2/3
12,=12,=2,=5/2,=25/24,=5/6,=97/16,=5/4,=97/30,=2/3
12,=12,=2,=5/2,=5/4,=1,=53/6,=2/3,=53/8,=1/2
12,=12,=2,=5/2,=5/4,=1,=29/4,=1,=29/6,=2/3
12,=12,=2,=5/2,=25/16,=5/4,=193/24,=5/6,=193/30,=2/3
12,=12,=2,=5/2,=5/3,=4/3,=17/3,=4/3,=17/4,=1
12,=12,=2,=5/2,=15/8,=3/2,=135/16,=3/4,=15/2,=2/3
12,=12,=2,=3,=3/4,=1/2,=9,=2/3,=9/2,=1/3
12,=12,=2,=3,=1,=2/3,=39/4,=1/2,=13/2,=1/3
12,=12,=2,=3,=1,=2/3,=15/2,=1,=15/4,=1/2
12,=12,=2,=3,=9/8,=3/4,=21/4,=3/2,=7/3,=2/3
12,=12,=2,=3,=5/4,=5/6,=51/8,=5/4,=17/5,=2/3
12,=12,=2,=3,=3/2,=1,=9,=2/3,=27/4,=1/2
12,=12,=2,=3,=3/2,=1,=15/2,=1,=5,=2/3
12,=12,=2,=3,=15/8,=5/4,=33/4,=5/6,=33/5,=2/3
12,=12,=2,=3,=2,=4/3,=6,=4/3,=9/2,=1
12,=12,=2,=3,=9/4,=3/2,=69/8,=3/4,=23/3,=2/3
12,=12,=2,=7/2,=7/8,=1/2,=55/6,=2/3,=55/12,=1/3
12,=12,=2,=7/2,=7/6,=2/3,=79/8,=1/2,=79/12,=1/3
12,=12,=2,=7/2,=7/6,=2/3,=31/4,=1,=31/8,=1/2
12,=12,=2,=7/2,=21/16,=3/4,=45/8,=3/2,=5/2,=2/3
12,=12,=2,=7/2,=35/24,=5/6,=107/16,=5/4,=107/30,=2/3
12,=12,=2,=7/2,=7/4,=1,=55/6,=2/3,=55/8,=1/2
12,=12,=2,=7/2,=7/4,=1,=31/4,=1,=31/6,=2/3
12,=12,=2,=7/2,=35/16,=5/4,=203/24,=5/6,=203/30,=2/3
12,=12,=2,=7/2,=7/3,=4/3,=19/3,=4/3,=19/4,=1
12,=12,=2,=7/2,=21/8,=3/2,=141/16,=3/4,=47/6,=2/3
12,=12,=2,=4,=1,=1/2,=28/3,=2/3,=14/3,=1/3
12,=12,=2,=4,=4/3,=2/3,=10,=1/2,=20/3,=1/3
12,=12,=2,=4,=4/3,=2/3,=8,=1,=4,=1/2
12,=12,=2,=4,=3/2,=3/4,=6,=3/2,=8/3,=2/3
12,=12,=2,=4,=5/3,=5/6,=7,=5/4,=56/15,=2/3
12,=12,=2,=4,=2,=1,=28/3,=2/3,=7,=1/2
12,=12,=2,=4,=2,=1,=8,=1,=16/3,=2/3
12,=12,=2,=4,=5/2,=5/4,=26/3,=5/6,=104/15,=2/3
12,=12,=2,=4,=8/3,=4/3,=20/3,=4/3,=5,=1
12,=12,=2,=4,=3,=3/2,=9,=3/4,=8,=2/3
12,=12,=2,=9/2,=9/8,=1/2,=19/2,=2/3,=19/4,=1/3
12,=12,=2,=9/2,=3/2,=2/3,=81/8,=1/2,=27/4,=1/3
12,=12,=2,=9/2,=3/2,=2/3,=33/4,=1,=33/8,=1/2
12,=12,=2,=9/2,=27/16,=3/4,=51/8,=3/2,=17/6,=2/3
12,=12,=2,=9/2,=15/8,=5/6,=117/16,=5/4,=39/10,=2/3
12,=12,=2,=9/2,=9/4,=1,=19/2,=2/3,=57/8,=1/2
12,=12,=2,=9/2,=9/4,=1,=33/4,=1,=11/2,=2/3
12,=12,=2,=9/2,=45/16,=5/4,=71/8,=5/6,=71/10,=2/3
12,=12,=2,=9/2,=3,=4/3,=7,=4/3,=21/4,=1
12,=12,=2,=9/2,=27/8,=3/2,=147/16,=3/4,=49/6,=2/3
12,=12,=2,=5,=5/4,=1/2,=29/3,=2/3,=29/6,=1/3
12,=12,=2,=5,=5/3,=2/3,=41/4,=1/2,=41/6,=1/3
12,=12,=2,=5,=5/3,=2/3,=17/2,=1,=17/4,=1/2
12,=12,=2,=5,=15/8,=3/4,=27/4,=3/2,=3,=2/3
12,=12,=2,=5,=25/12,=5/6,=61/8,=5/4,=61/15,=2/3
12,=12,=2,=5,=5/2,=1,=29/3,=2/3,=29/4,=1/2
12,=12,=2,=5,=5/2,=1,=17/2,=1,=17/3,=2/3
12,=12,=2,=5,=25/8,=5/4,=109/12,=5/6,=109/15,=2/3
12,=12,=2,=5,=10/3,=4/3,=22/3,=4/3,=11/2,=1
12,=12,=2,=5,=15/4,=3/2,=75/8,=3/4,=25/3,=2/3
12,=12,=2,=11/2,=11/8,=1/2,=59/6,=2/3,=59/12,=1/3
12,=12,=2,=11/2,=11/6,=2/3,=83/8,=1/2,=83/12,=1/3
12,=12,=2,=11/2,=11/6,=2/3,=35/4,=1,=35/8,=1/2
12,=12,=2,=11/2,=33/16,=3/4,=57/8,=3/2,=19/6,=2/3
12,=12,=2,=11/2,=55/24,=5/6,=127/16,=5/4,=127/30,=2/3
12,=12,=2,=11/2,=11/4,=1,=59/6,=2/3,=59/8,=1/2
12,=12,=2,=11/2,=11/4,=1,=35/4,=1,=35/6,=2/3
12,=12,=2,=11/2,=55/16,=5/4,=223/24,=5/6,=223/30,=2/3
12,=12,=2,=11/2,=11/3,=4/3,=23/3,=4/3,=23/4,=1
12,=12,=2,=11/2,=33/8,=3/2,=153/16,=3/4,=17/2,=2/3
12,=12,=2,=6,=3/2,=1/2,=10,=2/3,=5,=1/3
12,=12,=2,=6,=2,=2/3,=21/2,=1/2,=7,=1/3
12,=12,=2,=6,=2,=2/3,=9,=1,=9/2,=1/2
12,=12,=2,=6,=9/4,=3/4,=15/2,=3/2,=10/3,=2/3
12,=12,=2,=6,=5/2,=5/6,=33/4,=5/4,=22/5,=2/3
12,=12,=2,=6,=3,=1,=10,=2/3,=15/2,=1/2
12,=12,=2,=6,=3,=1,=9,=1,=6,=2/3
12,=12,=2,=6,=15/4,=5/4,=19/2,=5/6,=38/5,=2/3
12,=12,=2,=6,=4,=4/3,=8,=4/3,=6,=1
12,=12,=2,=6,=9/2,=3/2,=39/4,=3/4,=26/3,=2/3
12,=8,=3,=1/2,=1/8,=3/4,=11/2,=1,=11/4,=1/2
12,=8,=3,=1/2,=1/6,=1,=49/8,=3/4,=49/12,=1/2
12,=8,=3,=1/2,=1/6,=1,=17/4,=3/2,=17/8,=3/4
12,=8,=3,=1/2,=3/16,=9/8,=19/8,=9/4,=19/18,=1
12,=8,=3,=1/2,=5/24,=5/4,=53/16,=15/8,=53/30,=1
12,=8,=3,=1/2,=1/4,=3/2,=11/2,=1,=33/8,=3/4
12,=8,=3,=1/2,=1/4,=3/2,=17/4,=3/2,=17/6,=1
12,=8,=3,=1/2,=5/16,=15/8,=39/8,=5/4,=39/10,=1
12,=8,=3,=1/2,=1/3,=2,=3,=2,=9/4,=3/2
12,=8,=3,=1/2,=3/8,=9/4,=83/16,=9/8,=83/18,=1
12,=8,=3,=1,=1/4,=3/4,=17/3,=1,=17/6,=1/2
12,=8,=3,=1,=1/3,=1,=25/4,=3/4,=25/6,=1/2
12,=8,=3,=1,=1/3,=1,=9/2,=3/2,=9/4,=3/4
12,=8,=3,=1,=3/8,=9/8,=11/4,=9/4,=11/9,=1
12,=8,=3,=1,=5/12,=5/4,=29/8,=15/8,=29/15,=1
12,=8,=3,=1,=1/2,=3/2,=17/3,=1,=17/4,=3/4
12,=8,=3,=1,=1/2,=3/2,=9/2,=3/2,=3,=1
12,=8,=3,=1,=5/8,=15/8,=61/12,=5/4,=61/15,=1
12,=8,=3,=1,=2/3,=2,=10/3,=2,=5/2,=3/2
12,=8,=3,=1,=3/4,=9/4,=43/8,=9/8,=43/9,=1
12,=8,=3,=3/2,=3/8,=3/4,=35/6,=1,=35/12,=1/2
12,=8,=3,=3/2,=1/2,=1,=51/8,=3/4,=17/4,=1/2
12,=8,=3,=3/2,=1/2,=1,=19/4,=3/2,=19/8,=3/4
12,=8,=3,=3/2,=9/16,=9/8,=25/8,=9/4,=25/18,=1
12,=8,=3,=3/2,=5/8,=5/4,=63/16,=15/8,=21/10,=1
12,=8,=3,=3/2,=3/4,=3/2,=35/6,=1,=35/8,=3/4
12,=8,=3,=3/2,=3/4,=3/2,=19/4,=3/2,=19/6,=1
12,=8,=3,=3/2,=15/16,=15/8,=127/24,=5/4,=127/30,=1
12,=8,=3,=3/2,=1,=2,=11/3,=2,=11/4,=3/2
12,=8,=3,=3/2,=9/8,=9/4,=89/16,=9/8,=89/18,=1
12,=8,=3,=2,=1/2,=3/4,=6,=1,=3,=1/2
12,=8,=3,=2,=2/3,=1,=13/2,=3/4,=13/3,=1/2
12,=8,=3,=2,=2/3,=1,=5,=3/2,=5/2,=3/4
12,=8,=3,=2,=3/4,=9/8,=7/2,=9/4,=14/9,=1
12,=8,=3,=2,=5/6,=5/4,=17/4,=15/8,=34/15,=1
12,=8,=3,=2,=1,=3/2,=6,=1,=9/2,=3/4
12,=8,=3,=2,=1,=3/2,=5,=3/2,=10/3,=1
12,=8,=3,=2,=5/4,=15/8,=11/2,=5/4,=22/5,=1
12,=8,=3,=2,=4/3,=2,=4,=2,=3,=3/2
12,=8,=3,=2,=3/2,=9/4,=23/4,=9/8,=46/9,=1
12,=8,=3,=5/2,=5/8,=3/4,=37/6,=1,=37/12,=1/2
12,=8,=3,=5/2,=5/6,=1,=53/8,=3/4,=53/12,=1/2
12,=8,=3,=5/2,=5/6,=1,=21/4,=3/2,=21/8,=3/4
12,=8,=3,=5/2,=15/16,=9/8,=31/8,=9/4,=31/18,=1
12,=8,=3,=5/2,=25/24,=5/4,=73/16,=15/8,=73/30,=1
12,=8,=3,=5/2,=5/4,=3/2,=37/6,=1,=37/8,=3/4
12,=8,=3,=5/2,=5/4,=3/2,=21/4,=3/2,=7/2,=1
12,=8,=3,=5/2,=25/16,=15/8,=137/24,=5/4,=137/30,=1
12,=8,=3,=5/2,=5/3,=2,=13/3,=2,=13/4,=3/2
12,=8,=3,=5/2,=15/8,=9/4,=95/16,=9/8,=95/18,=1
12,=8,=3,=3,=3/4,=3/4,=19/3,=1,=19/6,=1/2
12,=8,=3,=3,=1,=1,=27/4,=3/4,=9/2,=1/2
12,=8,=3,=3,=1,=1,=11/2,=3/2,=11/4,=3/4
12,=8,=3,=3,=9/8,=9/8,=17/4,=9/4,=17/9,=1
12,=8,=3,=3,=5/4,=5/4,=39/8,=15/8,=13/5,=1
12,=8,=3,=3,=3/2,=3/2,=19/3,=1,=19/4,=3/4
12,=8,=3,=3,=3/2,=3/2,=11/2,=3/2,=11/3,=1
12,=8,=3,=3,=15/8,=15/8,=71/12,=5/4,=71/15,=1
12,=8,=3,=3,=2,=2,=14/3,=2,=7/2,=3/2
12,=8,=3,=3,=9/4,=9/4,=49/8,=9/8,=49/9,=1
12,=8,=3,=7/2,=7/8,=3/4,=13/2,=1,=13/4,=1/2
12,=8,=3,=7/2,=7/6,=1,=55/8,=3/4,=55/12,=1/2
12,=8,=3,=7/2,=7/6,=1,=23/4,=3/2,=23/8,=3/4
12,=8,=3,=7/2,=21/16,=9/8,=37/8,=9/4,=37/18,=1
12,=8,=3,=7/2,=35/24,=5/4,=83/16,=15/8,=83/30,=1
12,=8,=3,=7/2,=7/4,=3/2,=13/2,=1,=39/8,=3/4
12,=8,=3,=7/2,=7/4,=3/2,=23/4,=3/2,=23/6,=1
12,=8,=3,=7/2,=35/16,=15/8,=49/8,=5/4,=49/10,=1
12,=8,=3,=7/2,=7/3,=2,=5,=2,=15/4,=3/2
12,=8,=3,=7/2,=21/8,=9/4,=101/16,=9/8,=101/18,=1
12,=8,=3,=4,=1,=3/4,=20/3,=1,=10/3,=1/2
12,=8,=3,=4,=4/3,=1,=7,=3/4,=14/3,=1/2
12,=8,=3,=4,=4/3,=1,=6,=3/2,=3,=3/4
12,=8,=3,=4,=3/2,=9/8,=5,=9/4,=20/9,=1
12,=8,=3,=4,=5/3,=5/4,=11/2,=15/8,=44/15,=1
12,=8,=3,=4,=2,=3/2,=20/3,=1,=5,=3/4
12,=8,=3,=4,=2,=3/2,=6,=3/2,=4,=1
12,=8,=3,=4,=5/2,=15/8,=19/3,=5/4,=76/15,=1
12,=8,=3,=4,=8/3,=2,=16/3,=2,=4,=3/2
12,=8,=3,=4,=3,=9/4,=13/2,=9/8,=52/9,=1
12,=6,=4,=1/2,=1/8,=1,=25/6,=4/3,=25/12,=2/3
12,=6,=4,=1/2,=1/6,=4/3,=37/8,=1,=37/12,=2/3
12,=6,=4,=1/2,=1/6,=4/3,=13/4,=2,=13/8,=1
12,=6,=4,=1/2,=3/16,=3/2,=15/8,=3,=5/6,=4/3
12,=6,=4,=1/2,=5/24,=5/3,=41/16,=5/2,=41/30,=4/3
12,=6,=4,=1/2,=1/4,=2,=25/6,=4/3,=25/8,=1
12,=6,=4,=1/2,=1/4,=2,=13/4,=2,=13/6,=4/3
12,=6,=4,=1/2,=5/16,=5/2,=89/24,=5/3,=89/30,=4/3
12,=6,=4,=1/2,=1/3,=8/3,=7/3,=8/3,=7/4,=2
12,=6,=4,=1/2,=3/8,=3,=63/16,=3/2,=7/2,=4/3
12,=6,=4,=1,=1/4,=1,=13/3,=4/3,=13/6,=2/3
15,=30,=1,=9,=9/10,=1/10,=53/2,=1/6,=53/5,=1/15
15,=30,=1,=9,=3/2,=1/6,=279/10,=1/10,=93/5,=1/15
15,=30,=1,=9,=3/2,=1/6,=108/5,=2/5,=36/5,=2/15
15,=30,=1,=9,=3,=1/3,=23,=1/3,=69/5,=1/5
15,=30,=1,=9,=18/5,=2/5,=53/2,=1/6,=106/5,=2/15
15,=30,=1,=9,=18/5,=2/5,=16,=2/3,=8,=1/3
15,=30,=1,=9,=9/2,=1/2,=39/2,=1/2,=13,=1/3
15,=30,=1,=9,=9/2,=1/2,=16,=2/3,=48/5,=2/5
15,=30,=1,=9,=6,=2/3,=108/5,=2/5,=18,=1/3
15,=30,=1,=9,=6,=2/3,=39/2,=1/2,=78/5,=2/5
15,=30,=1,=9,=36/5,=4/5,=66/5,=4/5,=11,=2/3
15,=30,=1,=19/2,=19/20,=1/10,=319/12,=1/6,=319/30,=1/15
15,=30,=1,=19/2,=19/12,=1/6,=559/20,=1/10,=559/30,=1/15
15,=30,=1,=19/2,=19/12,=1/6,=109/5,=2/5,=109/15,=2/15
15,=30,=1,=19/2,=19/6,=1/3,=139/6,=1/3,=139/10,=1/5
15,=30,=1,=19/2,=19/5,=2/5,=319/12,=1/6,=319/15,=2/15
15,=30,=1,=19/2,=19/5,=2/5,=49/3,=2/3,=49/6,=1/3
15,=30,=1,=19/2,=19/4,=1/2,=79/4,=1/2,=79/6,=1/3
15,=30,=1,=19/2,=19/4,=1/2,=49/3,=2/3,=49/5,=2/5
15,=30,=1,=19/2,=19/3,=2/3,=109/5,=2/5,=109/6,=1/3
15,=30,=1,=19/2,=19/3,=2/3,=79/4,=1/2,=79/5,=2/5
15,=30,=1,=19/2,=38/5,=4/5,=68/5,=4/5,=34/3,=2/3
15,=30,=1,=10,=1,=1/10,=80/3,=1/6,=32/3,=1/15
15,=30,=1,=10,=5/3,=1/6,=28,=1/10,=56/3,=1/15
15,=30,=1,=10,=5/3,=1/6,=22,=2/5,=22/3,=2/15
15,=30,=1,=10,=10/3,=1/3,=70/3,=1/3,=14,=1/5
15,=30,=1,=10,=4,=2/5,=80/3,=1/6,=64/3,=2/15
15,=30,=1,=10,=4,=2/5,=50/3,=2/3,=25/3,=1/3
15,=30,=1,=10,=5,=1/2,=20,=1/2,=40/3,=1/3
15,=30,=1,=10,=5,=1/2,=50/3,=2/3,=10,=2/5
15,=30,=1,=10,=20/3,=2/3,=22,=2/5,=55/3,=1/3
15,=30,=1,=10,=20/3,=2/3,=20,=1/2,=16,=2/5
15,=30,=1,=10,=8,=4/5,=14,=4/5,=35/3,=2/3
15,=30,=1,=21/2,=21/20,=1/10,=107/4,=1/6,=107/10,=1/15
15,=30,=1,=21/2,=7/4,=1/6,=561/20,=1/10,=187/10,=1/15
15,=30,=1,=21/2,=7/4,=1/6,=111/5,=2/5,=37/5,=2/15
15,=30,=1,=21/2,=7/2,=1/3,=47/2,=1/3,=141/10,=1/5
15,=30,=1,=21/2,=21/5,=2/5,=107/4,=1/6,=107/5,=2/15
15,=30,=1,=21/2,=21/5,=2/5,=17,=2/3,=17/2,=1/3
15,=30,=1,=21/2,=21/4,=1/2,=81/4,=1/2,=27/2,=1/3
15,=30,=1,=21/2,=21/4,=1/2,=17,=2/3,=51/5,=2/5
15,=30,=1,=21/2,=7,=2/3,=111/5,=2/5,=37/2,=1/3
15,=30,=1,=21/2,=7,=2/3,=81/4,=1/2,=81/5,=2/5
15,=30,=1,=21/2,=42/5,=4/5,=72/5,=4/5,=12,=2/3
15,=30,=1,=11,=11/10,=1/10,=161/6,=1/6,=161/15,=1/15
15,=30,=1,=11,=11/6,=1/6,=281/10,=1/10,=281/15,=1/15
15,=30,=1,=11,=11/6,=1/6,=112/5,=2/5,=112/15,=2/15
15,=30,=1,=11,=11/3,=1/3,=71/3,=1/3,=71/5,=1/5
15,=30,=1,=11,=22/5,=2/5,=161/6,=1/6,=322/15,=2/15
15,=30,=1,=11,=22/5,=2/5,=52/3,=2/3,=26/3,=1/3
15,=30,=1,=11,=11/2,=1/2,=41/2,=1/2,=41/3,=1/3
15,=30,=1,=11,=11/2,=1/2,=52/3,=2/3,=52/5,=2/5
15,=30,=1,=11,=22/3,=2/3,=112/5,=2/5,=56/3,=1/3
15,=30,=1,=11,=22/3,=2/3,=41/2,=1/2,=82/5,=2/5
15,=30,=1,=11,=44/5,=4/5,=74/5,=4/5,=37/3,=2/3
15,=30,=1,=23/2,=23/20,=1/10,=323/12,=1/6,=323/30,=1/15
15,=30,=1,=23/2,=23/12,=1/6,=563/20,=1/10,=563/30,=1/15
15,=30,=1,=23/2,=23/12,=1/6,=113/5,=2/5,=113/15,=2/15
15,=30,=1,=23/2,=23/6,=1/3,=143/6,=1/3,=143/10,=1/5
15,=30,=1,=23/2,=23/5,=2/5,=323/12,=1/6,=323/15,=2/15
15,=30,=1,=23/2,=23/5,=2/5,=53/3,=2/3,=53/6,=1/3
15,=30,=1,=23/2,=23/4,=1/2,=83/4,=1/2,=83/6,=1/3
15,=30,=1,=23/2,=23/4,=1/2,=53/3,=2/3,=53/5,=2/5
15,=30,=1,=23/2,=23/3,=2/3,=113/5,=2/5,=113/6,=1/3
15,=30,=1,=23/2,=23/3,=2/3,=83/4,=1/2,=83/5,=2/5
15,=30,=1,=23/2,=46/5,=4/5,=76/5,=4/5,=38/3,=2/3
15,=30,=1,=12,=6/5,=1/10,=27,=1/6,=54/5,=1/15
15,=30,=1,=12,=2,=1/6,=141/5,=1/10,=94/5,=1/15
15,=30,=1,=12,=2,=1/6,=114/5,=2/5,=38/5,=2/15
15,=30,=1,=12,=4,=1/3,=24,=1/3,=72/5,=1/5
15,=30,=1,=12,=24/5,=2/5,=27,=1/6,=108/5,=2/15
15,=30,=1,=12,=24/5,=2/5,=18,=2/3,=9,=1/3
15,=30,=1,=12,=6,=1/2,=21,=1/2,=14,=1/3
15,=30,=1,=12,=6,=1/2,=18,=2/3,=54/5,=2/5
15,=30,=1,=12,=8,=2/3,=114/5,=2/5,=19,=1/3
15,=30,=1,=12,=8,=2/3,=21,=1/2,=84/5,=2/5
15,=30,=1,=12,=48/5,=4/5,=78/5,=4/5,=13,=2/3
15,=30,=1,=25/2,=5/4,=1/10,=325/12,=1/6,=65/6,=1/15
15,=30,=1,=25/2,=25/12,=1/6,=113/4,=1/10,=113/6,=1/15
15,=30,=1,=25/2,=25/12,=1/6,=23,=2/5,=23/3,=2/15
15,=30,=1,=25/2,=25/6,=1/3,=145/6,=1/3,=29/2,=1/5
15,=30,=1,=25/2,=5,=2/5,=325/12,=1/6,=65/3,=2/15
15,=30,=1,=25/2,=5,=2/5,=55/3,=2/3,=55/6,=1/3
15,=30,=1,=25/2,=25/4,=1/2,=85/4,=1/2,=85/6,=1/3
15,=30,=1,=25/2,=25/4,=1/2,=55/3,=2/3,=11,=2/5
15,=30,=1,=25/2,=25/3,=2/3,=23,=2/5,=115/6,=1/3
15,=30,=1,=25/2,=25/3,=2/3,=85/4,=1/2,=17,=2/5
15,=30,=1,=25/2,=10,=4/5,=16,=4/5,=40/3,=2/3
15,=30,=1,=13,=13/10,=1/10,=163/6,=1/6,=163/15,=1/15
15,=30,=1,=13,=13/6,=1/6,=283/10,=1/10,=283/15,=1/15
15,=30,=1,=13,=13/6,=1/6,=116/5,=2/5,=116/15,=2/15
15,=30,=1,=13,=13/3,=1/3,=73/3,=1/3,=73/5,=1/5
15,=30,=1,=13,=26/5,=2/5,=163/6,=1/6,=326/15,=2/15
15,=30,=1,=13,=26/5,=2/5,=56/3,=2/3,=28/3,=1/3
15,=30,=1,=13,=13/2,=1/2,=43/2,=1/2,=43/3,=1/3
15,=30,=1,=13,=13/2,=1/2,=56/3,=2/3,=56/5,=2/5
15,=30,=1,=13,=26/3,=2/3,=116/5,=2/5,=58/3,=1/3
15,=30,=1,=13,=26/3,=2/3,=43/2,=1/2,=86/5,=2/5
15,=30,=1,=13,=52/5,=4/5,=82/5,=4/5,=41/3,=2/3
15,=30,=1,=27/2,=27/20,=1/10,=109/4,=1/6,=109/10,=1/15
15,=30,=1,=27/2,=9/4,=1/6,=567/20,=1/10,=189/10,=1/15
15,=30,=1,=27/2,=9/4,=1/6,=117/5,=2/5,=39/5,=2/15
15,=30,=1,=27/2,=9/2,=1/3,=49/2,=1/3,=147/10,=1/5
15,=30,=1,=27/2,=27/5,=2/5,=109/4,=1/6,=109/5,=2/15
15,=30,=1,=27/2,=27/5,=2/5,=19,=2/3,=19/2,=1/3
15,=30,=1,=27/2,=27/4,=1/2,=87/4,=1/2,=29/2,=1/3
15,=30,=1,=27/2,=27/4,=1/2,=19,=2/3,=57/5,=2/5
15,=30,=1,=27/2,=9,=2/3,=117/5,=2/5,=39/2,=1/3
15,=30,=1,=27/2,=9,=2/3,=87/4,=1/2,=87/5,=2/5
15,=30,=1,=27/2,=54/5,=4/5,=84/5,=4/5,=14,=2/3
15,=30,=1,=14,=7/5,=1/10,=82/3,=1/6,=164/15,=1/15
15,=30,=1,=14,=7/3,=1/6,=142/5,=1/10,=284/15,=1/15
15,=30,=1,=14,=7/3,=1/6,=118/5,=2/5,=118/15,=2/15
15,=30,=1,=14,=14/3,=1/3,=74/3,=1/3,=74/5,=1/5
15,=30,=1,=14,=28/5,=2/5,=82/3,=1/6,=328/15,=2/15
15,=30,=1,=14,=28/5,=2/5,=58/3,=2/3,=29/3,=1/3
15,=30,=1,=14,=7,=1/2,=22,=1/2,=44/3,=1/3
15,=30,=1,=14,=7,=1/2,=58/3,=2/3,=58/5,=2/5
15,=30,=1,=14,=28/3,=2/3,=118/5,=2/5,=59/3,=1/3
15,=30,=1,=14,=28/3,=2/3,=22,=1/2,=88/5,=2/5
15,=30,=1,=14,=56/5,=4/5,=86/5,=4/5,=43/3,=2/3
15,=30,=1,=29/2,=29/20,=1/10,=329/12,=1/6,=329/30,=1/15
15,=30,=1,=29/2,=29/12,=1/6,=569/20,=1/10,=569/30,=1/15
15,=30,=1,=29/2,=29/12,=1/6,=119/5,=2/5,=119/15,=2/15
15,=30,=1,=29/2,=29/6,=1/3,=149/6,=1/3,=149/10,=1/5
15,=30,=1,=29/2,=29/5,=2/5,=329/12,=1/6,=329/15,=2/15
15,=30,=1,=29/2,=29/5,=2/5,=59/3,=2/3,=59/6,=1/3
15,=30,=1,=29/2,=29/4,=1/2,=89/4,=1/2,=89/6,=1/3
15,=30,=1,=29/2,=29/4,=1/2,=59/3,=2/3,=59/5,=2/5
15,=30,=1,=29/2,=29/3,=2/3,=119/5,=2/5,=119/6,=1/3
15,=30,=1,=29/2,=29/3,=2/3,=89/4,=1/2,=89/5,=2/5
15,=30,=1,=29/2,=58/5,=4/5,=88/5,=4/5,=44/3,=2/3
15,=30,=1,=15,=3/2,=1/10,=55/2,=1/6,=11,=1/15
15,=30,=1,=15,=5/2,=1/6,=57/2,=1/10,=19,=1/15
15,=30,=1,=15,=5/2,=1/6,=24,=2/5,=8,=2/15
15,=30,=1,=15,=5,=1/3,=25,=1/3,=15,=1/5
15,=30,=1,=15,=6,=2/5,=55/2,=1/6,=22,=2/15
15,=30,=1,=15,=6,=2/5,=20,=2/3,=10,=1/3
15,=30,=1,=15,=15/2,=1/2,=45/2,=1/2,=15,=1/3
15,=30,=1,=15,=15/2,=1/2,=20,=2/3,=12,=2/5
15,=30,=1,=15,=10,=2/3,=24,=2/5,=20,=1/3
15,=30,=1,=15,=10,=2/3,=45/2,=1/2,=18,=2/5
15,=30,=1,=15,=12,=4/5,=18,=4/5,=15,=2/3
15,=15,=2,=1/2,=1/20,=1/5,=151/12,=1/3,=151/30,=2/15
15,=15,=2,=1/2,=1/12,=1/3,=271/20,=1/5,=271/30,=2/15
15,=15,=2,=1/2,=1/12,=1/3,=46/5,=4/5,=46/15,=4/15
15,=15,=2,=1/2,=1/6,=2/3,=61/6,=2/3,=61/10,=2/5
15,=15,=2,=1/2,=1/5,=4/5,=151/12,=1/3,=151/15,=4/15
15,=15,=2,=1/2,=1/5,=4/5,=16/3,=4/3,=8/3,=2/3
15,=15,=2,=1/2,=1/4,=1,=31/4,=1,=31/6,=2/3
15,=15,=2,=1/2,=1/4,=1,=16/3,=4/3,=16/5,=4/5
15,=15,=2,=1/2,=1/3,=4/3,=46/5,=4/5,=23/3,=2/3
15,=15,=2,=1/2,=1/3,=4/3,=31/4,=1,=31/5,=4/5
15,=15,=2,=1/2,=2/5,=8/5,=17/5,=8/5,=17/6,=4/3
15,=15,=2,=1,=1/10,=1/5,=38/3,=1/3,=76/15,=2/15
15,=15,=2,=1,=1/6,=1/3,=68/5,=1/5,=136/15,=2/15
15,=15,=2,=1,=1/6,=1/3,=47/5,=4/5,=47/15,=4/15
15,=15,=2,=1,=1/3,=2/3,=31/3,=2/3,=31/5,=2/5
15,=15,=2,=1,=2/5,=4/5,=38/3,=1/3,=152/15,=4/15
15,=15,=2,=1,=2/5,=4/5,=17/3,=4/3,=17/6,=2/3
15,=15,=2,=1,=1/2,=1,=8,=1,=16/3,=2/3
15,=15,=2,=1,=1/2,=1,=17/3,=4/3,=17/5,=4/5
15,=15,=2,=1,=2/3,=4/3,=47/5,=4/5,=47/6,=2/3
15,=15,=2,=1,=2/3,=4/3,=8,=1,=32/5,=4/5
